Manufacturer,Model,Capacity,Carrier,Like New Price,Good Price,Fair Price,Minor Damage Price,Damaged Price,Like New Deeplink,Good Deeplink,Fair Deeplink,Minor Damage Deeplink,Damaged Deeplink
Apple,iPhone 12,128GB,T-Mobile,100.0,80.0,40.0,25.0,10.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/t-mobile/128gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/t-mobile/128gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/t-mobile/128gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/t-mobile/128gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/t-mobile/128gb/damaged
Apple,iPhone 12,128GB,Verizon,140.0,120.0,80.0,55.0,10.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/verizon/128gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/verizon/128gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/verizon/128gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/verizon/128gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/verizon/128gb/damaged
Apple,iPhone 12,128GB,Unlocked,145.0,125.0,85.0,45.0,10.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/unlocked/128gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/unlocked/128gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/unlocked/128gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/unlocked/128gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/unlocked/128gb/damaged
Apple,iPhone 12,256GB,AT&T,150.0,130.0,90.0,50.0,10.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/at-t/256gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/at-t/256gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/at-t/256gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/at-t/256gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/at-t/256gb/damaged
Apple,iPhone 12,256GB,T-Mobile,120.0,100.0,60.0,30.0,10.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/t-mobile/256gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/t-mobile/256gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/t-mobile/256gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/t-mobile/256gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/t-mobile/256gb/damaged
Apple,iPhone 12,256GB,Verizon,160.0,140.0,100.0,50.0,10.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/verizon/256gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/verizon/256gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/verizon/256gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/verizon/256gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/verizon/256gb/damaged
Apple,iPhone 12,256GB,Unlocked,165.0,145.0,105.0,50.0,10.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/unlocked/256gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/unlocked/256gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/unlocked/256gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/unlocked/256gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12/unlocked/256gb/damaged
Apple,iPhone 12 Mini,64GB,AT&T,80.0,60.0,30.0,5.0,5.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/at-t/64gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/at-t/64gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/at-t/64gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/at-t/64gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/at-t/64gb/damaged
Apple,iPhone 12 Mini,64GB,T-Mobile,45.0,25.0,10.0,5.0,5.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/t-mobile/64gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/t-mobile/64gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/t-mobile/64gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/t-mobile/64gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/t-mobile/64gb/damaged
Apple,iPhone 12 Mini,64GB,Verizon,100.0,80.0,50.0,25.0,5.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/verizon/64gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/verizon/64gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/verizon/64gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/verizon/64gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/verizon/64gb/damaged
