partner_ref,product,carrier,memory,storage,processor,price_new,price_mint,price_good,price_fair,price_broken,url
,apple-ipad-mini-5,cellular,,256gb,,,135.0,115.0,75.0,25.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-mini-5th-gen-2019
,apple-ipad-mini-6,wi-fi,,64gb,,,175.0,160.0,120.0,50.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-mini-6th-gen-2021
,apple-ipad-mini-6,cellular,,64gb,,,200.0,185.0,145.0,60.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-mini-6th-gen-2021
,apple-ipad-mini-6,wi-fi,,256gb,,,225.0,210.0,170.0,60.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-mini-6th-gen-2021
,apple-ipad-mini-6,cellular,,256gb,,,250.0,235.0,195.0,70.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-mini-6th-gen-2021
,apple-ipad-mini-7th-gen-2024,wi-fi,,128gb,,,260.0,240.0,190.0,65.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-mini-7th-gen-2024
,apple-ipad-mini-7th-gen-2024,cellular,,128gb,,,285.0,265.0,215.0,75.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-mini-7th-gen-2024
,apple-ipad-mini-7th-gen-2024,wi-fi,,256gb,,,300.0,280.0,230.0,75.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-mini-7th-gen-2024
,apple-ipad-mini-7th-gen-2024,cellular,,256gb,,,325.0,305.0,255.0,85.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-mini-7th-gen-2024
,apple-ipad-mini-7th-gen-2024,wi-fi,,512gb,,,360.0,340.0,290.0,85.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-mini-7th-gen-2024
,apple-ipad-mini-7th-gen-2024,cellular,,512gb,,,385.0,365.0,315.0,95.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-mini-7th-gen-2024
,apple-ipad-pro-129-3rd-gen-2018,wi-fi,,64gb,,,245.0,200.0,145.0,60.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-3rd-gen-2018
,apple-ipad-pro-129-3rd-gen-2018,cellular,,64gb,,,265.0,220.0,165.0,70.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-3rd-gen-2018
,apple-ipad-pro-129-3rd-gen-2018,wi-fi,,256gb,,,270.0,225.0,170.0,70.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-3rd-gen-2018
,apple-ipad-pro-129-3rd-gen-2018,cellular,,256gb,,,290.0,245.0,190.0,80.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-3rd-gen-2018
,apple-ipad-pro-129-3rd-gen-2018,wi-fi,,512gb,,,285.0,240.0,185.0,75.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-3rd-gen-2018
,apple-ipad-pro-129-3rd-gen-2018,cellular,,512gb,,,305.0,260.0,205.0,85.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-3rd-gen-2018
,apple-ipad-pro-129-3rd-gen-2018,wi-fi,,1tb,,,305.0,260.0,205.0,80.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-3rd-gen-2018
,apple-ipad-pro-129-3rd-gen-2018,cellular,,1tb,,,325.0,280.0,225.0,90.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-3rd-gen-2018
,apple-ipad-pro-129-4th-gen-2020,wi-fi,,128gb,,,280.0,230.0,180.0,60.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-4th-gen-2020
,apple-ipad-pro-129-4th-gen-2020,cellular,,128gb,,,320.0,270.0,220.0,63.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-4th-gen-2020
,apple-ipad-pro-129-4th-gen-2020,wi-fi,,256gb,,,290.0,240.0,190.0,63.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-4th-gen-2020
