variant_id,condition,price,enabled
52,Flawless,0.0,False
52,Good,0.0,False
52,Fair,0.0,False
52,Minor Damage,0.0,False
52,Broken,0.0,False
53,Brand New,0.0,False
53,Flawless,0.0,False
53,Good,0.0,False
53,Fair,0.0,False
53,Minor Damage,0.0,False
53,Broken,0.0,False
54,Brand New,0.0,False
54,Flawless,0.0,False
54,Good,0.0,False
54,Fair,0.0,False
54,Minor Damage,0.0,False
54,Broken,0.0,False
55,Brand New,0.0,False
55,Flawless,0.0,False
55,Good,0.0,False
55,Fair,0.0,False
55,Minor Damage,0.0,False
55,Broken,0.0,False
56,Brand New,0.0,False
56,Flawless,0.0,False
56,Good,0.0,False
56,Fair,0.0,False
56,Minor Damage,0.0,False
56,Broken,0.0,False
57,Brand New,0.0,False
57,Flawless,0.0,False
57,Good,0.0,False
57,Fair,0.0,False
57,Minor Damage,0.0,False
57,Broken,0.0,False
58,Brand New,0.0,False
58,Flawless,0.0,False
58,Good,0.0,False
58,Fair,0.0,False
58,Minor Damage,0.0,False
58,Broken,0.0,False
59,Brand New,0.0,False
59,Flawless,0.0,False
59,Good,0.0,False
59,Fair,0.0,False
59,Minor Damage,0.0,False
59,Broken,0.0,False
60,Brand New,0.0,False
60,Flawless,0.0,False
60,Good,0.0,False
60,Fair,0.0,False
60,Minor Damage,0.0,False
60,Broken,0.0,False
61,Brand New,0.0,False
61,Flawless,0.0,False
61,Good,0.0,False
61,Fair,0.0,False
61,Minor Damage,0.0,False
61,Broken,0.0,False
62,Brand New,0.0,False
62,Flawless,0.0,False
62,Good,0.0,False
62,Fair,0.0,False
62,Minor Damage,0.0,False
62,Broken,0.0,False
63,Brand New,0.0,False
63,Flawless,0.0,False
63,Good,0.0,False
63,Fair,0.0,False
63,Minor Damage,0.0,False
63,Broken,0.0,False
64,Brand New,0.0,False
64,Flawless,0.0,False
64,Good,0.0,False
64,Fair,0.0,False
64,Minor Damage,0.0,False
64,Broken,0.0,False
65,Brand New,0.0,False
65,Flawless,0.0,False
65,Good,0.0,False
65,Fair,0.0,False
65,Minor Damage,0.0,False
65,Broken,0.0,False
66,Brand New,0.0,False
66,Flawless,0.0,False
66,Good,0.0,False
66,Fair,0.0,False
66,Minor Damage,0.0,False
66,Broken,0.0,False
67,Brand New,0.0,False
67,Flawless,0.0,False
67,Good,0.0,False
67,Fair,0.0,False
67,Minor Damage,0.0,False
67,Broken,0.0,False
68,Brand New,0.0,False
68,Flawless,0.0,False
68,Good,0.0,False
68,Fair,0.0,False
68,Minor Damage,0.0,False
68,Broken,0.0,False
69,Brand New,0.0,False
69,Flawless,0.0,False
69,Good,0.0,False
69,Fair,0.0,False
69,Minor Damage,0.0,False
69,Broken,0.0,False
70,Brand New,0.0,False
70,Flawless,0.0,False
70,Good,0.0,False
70,Fair,0.0,False
70,Minor Damage,0.0,False
70,Broken,0.0,False
71,Brand New,0.0,False
71,Flawless,0.0,False
71,Good,0.0,False
71,Fair,0.0,False
71,Minor Damage,0.0,False
71,Broken,0.0,False
72,Brand New,0.0,False
72,Flawless,0.0,False
72,Good,0.0,False
72,Fair,0.0,False
72,Minor Damage,0.0,False
72,Broken,0.0,False
73,Brand New,0.0,False
73,Flawless,0.0,False
73,Good,0.0,False
73,Fair,0.0,False
73,Minor Damage,0.0,False
73,Broken,0.0,False
74,Brand New,0.0,False
74,Flawless,0.0,False
74,Good,0.0,False
74,Fair,0.0,False
74,Minor Damage,0.0,False
74,Broken,0.0,False
75,Brand New,0.0,False
75,Flawless,0.0,False
75,Good,0.0,False
75,Fair,0.0,False
75,Minor Damage,0.0,False
75,Broken,0.0,False
76,Brand New,0.0,False
76,Flawless,0.0,False
76,Good,0.0,False
76,Fair,0.0,False
76,Minor Damage,0.0,False
76,Broken,0.0,False
77,Brand New,0.0,False
77,Flawless,0.0,False
77,Good,0.0,False
77,Fair,0.0,False
77,Minor Damage,0.0,False
77,Broken,0.0,False
78,Brand New,0.0,False
78,Flawless,0.0,False
78,Good,0.0,False
78,Fair,0.0,False
78,Minor Damage,0.0,False
78,Broken,0.0,False
79,Brand New,0.0,False
79,Flawless,0.0,False
79,Good,0.0,False
79,Fair,0.0,False
79,Minor Damage,0.0,False
79,Broken,0.0,False
80,Brand New,0.0,False
80,Flawless,0.0,False
80,Good,0.0,False
80,Fair,0.0,False
80,Minor Damage,0.0,False
80,Broken,0.0,False
81,Brand New,0.0,False
81,Flawless,0.0,False
81,Good,0.0,False
81,Fair,0.0,False
81,Minor Damage,0.0,False
81,Broken,0.0,False
82,Brand New,0.0,False
82,Flawless,0.0,False
82,Good,0.0,False
82,Fair,0.0,False
82,Minor Damage,0.0,False
82,Broken,0.0,False
83,Brand New,0.0,False
83,Flawless,0.0,False
83,Good,0.0,False
83,Fair,0.0,False
83,Minor Damage,0.0,False
83,Broken,0.0,False
84,Brand New,0.0,False
84,Flawless,0.0,False
84,Good,0.0,False
84,Fair,0.0,False
84,Minor Damage,0.0,False
84,Broken,0.0,False
85,Brand New,0.0,False
85,Flawless,0.0,False
85,Good,0.0,False
85,Fair,0.0,False
85,Minor Damage,0.0,False
85,Broken,0.0,False
86,Brand New,0.0,False
86,Flawless,0.0,False
86,Good,0.0,False
86,Fair,0.0,False
86,Minor Damage,0.0,False
86,Broken,0.0,False
87,Brand New,0.0,False
87,Flawless,0.0,False
87,Good,0.0,False
87,Fair,0.0,False
87,Minor Damage,0.0,False
87,Broken,0.0,False
88,Brand New,0.0,False
88,Flawless,0.0,False
88,Good,0.0,False
88,Fair,0.0,False
88,Minor Damage,0.0,False
88,Broken,0.0,False
89,Brand New,0.0,False
89,Flawless,0.0,False
89,Good,0.0,False
89,Fair,0.0,False
89,Minor Damage,0.0,False
89,Broken,0.0,False
90,Brand New,0.0,False
90,Flawless,0.0,False
90,Good,0.0,False
90,Fair,0.0,False
90,Minor Damage,0.0,False
90,Broken,0.0,False
91,Brand New,0.0,False
91,Flawless,0.0,False
91,Good,0.0,False
91,Fair,0.0,False
91,Minor Damage,0.0,False
91,Broken,0.0,False
92,Brand New,0.0,False
92,Flawless,0.0,False
92,Good,0.0,False
92,Fair,0.0,False
92,Minor Damage,0.0,False
92,Broken,0.0,False
93,Brand New,0.0,False
93,Flawless,0.0,False
93,Good,0.0,False
93,Fair,0.0,False
93,Minor Damage,0.0,False
93,Broken,0.0,False
94,Brand New,0.0,False
94,Flawless,0.0,False
94,Good,0.0,False
94,Fair,0.0,False
94,Minor Damage,0.0,False
94,Broken,0.0,False
95,Brand New,0.0,False
95,Flawless,0.0,False
95,Good,0.0,False
95,Fair,0.0,False
95,Minor Damage,0.0,False
95,Broken,0.0,False
96,Brand New,0.0,False
96,Flawless,0.0,False
96,Good,0.0,False
96,Fair,0.0,False
96,Minor Damage,0.0,False
96,Broken,0.0,False
97,Brand New,0.0,False
97,Flawless,0.0,False
97,Good,0.0,False
97,Fair,0.0,False
97,Minor Damage,0.0,False
97,Broken,0.0,False
98,Brand New,0.0,False
98,Flawless,0.0,False
98,Good,0.0,False
98,Fair,0.0,False
98,Minor Damage,0.0,False
98,Broken,0.0,False
99,Brand New,0.0,False
99,Flawless,0.0,False
99,Good,0.0,False
99,Fair,0.0,False
99,Minor Damage,0.0,False
99,Broken,0.0,False
100,Brand New,0.0,False
100,Flawless,0.0,False
100,Good,0.0,False
100,Fair,0.0,False
100,Minor Damage,0.0,False
100,Broken,0.0,False
101,Brand New,0.0,False
101,Flawless,0.0,False
101,Good,0.0,False
101,Fair,0.0,False
101,Minor Damage,0.0,False
101,Broken,0.0,False
102,Brand New,0.0,False
102,Flawless,0.0,False
102,Good,0.0,False
102,Fair,0.0,False
102,Minor Damage,0.0,False
102,Broken,0.0,False
103,Brand New,0.0,False
103,Flawless,0.0,False
103,Good,0.0,False
103,Fair,0.0,False
103,Minor Damage,0.0,False
103,Broken,0.0,False
104,Brand New,0.0,False
104,Flawless,0.0,False
104,Good,0.0,False
104,Fair,0.0,False
104,Minor Damage,0.0,False
104,Broken,0.0,False
105,Brand New,0.0,False
105,Flawless,0.0,False
105,Good,0.0,False
105,Fair,0.0,False
105,Minor Damage,0.0,False
105,Broken,0.0,False
106,Brand New,0.0,False
106,Flawless,0.0,False
106,Good,0.0,False
106,Fair,0.0,False
106,Minor Damage,0.0,False
106,Broken,0.0,False
107,Brand New,0.0,False
107,Flawless,0.0,False
107,Good,0.0,False
107,Fair,0.0,False
107,Minor Damage,0.0,False
107,Broken,0.0,False
108,Brand New,0.0,False
108,Flawless,0.0,False
108,Good,0.0,False
108,Fair,0.0,False
108,Minor Damage,0.0,False
108,Broken,0.0,False
109,Brand New,0.0,False
109,Flawless,0.0,False
109,Good,0.0,False
109,Fair,0.0,False
109,Minor Damage,0.0,False
109,Broken,0.0,False
110,Brand New,0.0,False
110,Flawless,0.0,False
110,Good,0.0,False
110,Fair,0.0,False
110,Minor Damage,0.0,False
110,Broken,0.0,False
111,Brand New,0.0,False
111,Flawless,0.0,False
111,Good,0.0,False
111,Fair,0.0,False
111,Minor Damage,0.0,False
111,Broken,0.0,False
112,Brand New,0.0,False
112,Flawless,0.0,False
112,Good,0.0,False
112,Fair,0.0,False
112,Minor Damage,0.0,False
112,Broken,0.0,False
113,Brand New,0.0,False
113,Flawless,0.0,False
113,Good,0.0,False
113,Fair,0.0,False
113,Minor Damage,0.0,False
113,Broken,0.0,False
114,Brand New,0.0,False
114,Flawless,0.0,False
114,Good,0.0,False
114,Fair,0.0,False
114,Minor Damage,0.0,False
114,Broken,0.0,False
115,Brand New,0.0,False
115,Flawless,0.0,False
115,Good,0.0,False
115,Fair,0.0,False
115,Minor Damage,0.0,False
115,Broken,0.0,False
116,Brand New,0.0,False
116,Flawless,0.0,False
116,Good,0.0,False
116,Fair,0.0,False
116,Minor Damage,0.0,False
116,Broken,0.0,False
117,Brand New,0.0,False
117,Flawless,0.0,False
117,Good,0.0,False
117,Fair,0.0,False
117,Minor Damage,0.0,False
117,Broken,0.0,False
118,Brand New,0.0,False
118,Flawless,0.0,False
118,Good,0.0,False
118,Fair,0.0,False
118,Minor Damage,0.0,False
118,Broken,0.0,False
119,Brand New,0.0,False
119,Flawless,0.0,False
119,Good,0.0,False
119,Fair,0.0,False
119,Minor Damage,0.0,False
119,Broken,0.0,False
120,Brand New,0.0,False
120,Flawless,0.0,False
120,Good,0.0,False
120,Fair,0.0,False
120,Minor Damage,0.0,False
120,Broken,0.0,False
121,Brand New,0.0,False
121,Flawless,0.0,False
121,Good,0.0,False
121,Fair,0.0,False
121,Minor Damage,0.0,False
121,Broken,0.0,False
122,Brand New,0.0,False
122,Flawless,0.0,False
122,Good,0.0,False
122,Fair,0.0,False
122,Minor Damage,0.0,False
122,Broken,0.0,False
123,Brand New,0.0,False
123,Flawless,0.0,False
123,Good,0.0,False
123,Fair,0.0,False
123,Minor Damage,0.0,False
123,Broken,0.0,False
124,Brand New,0.0,False
124,Flawless,0.0,False
124,Good,0.0,False
124,Fair,0.0,False
124,Minor Damage,0.0,False
124,Broken,0.0,False
125,Brand New,0.0,False
125,Flawless,0.0,False
125,Good,0.0,False
125,Fair,0.0,False
125,Minor Damage,0.0,False
125,Broken,0.0,False
126,Brand New,0.0,False
126,Flawless,0.0,False
126,Good,0.0,False
126,Fair,0.0,False
126,Minor Damage,0.0,False
126,Broken,0.0,False
127,Brand New,0.0,False
127,Flawless,0.0,False
127,Good,0.0,False
127,Fair,0.0,False
127,Minor Damage,0.0,False
127,Broken,0.0,False
128,Brand New,0.0,False
128,Flawless,0.0,False
128,Good,0.0,False
128,Fair,0.0,False
128,Minor Damage,0.0,False
128,Broken,0.0,False
129,Brand New,0.0,False
